Alert,At Time
1 has been waiting for more then 10 minutes,2024-02-21 12:56:36
1 has been waiting for more then 10 minutes,2024-02-21 12:56:55
1 has been waiting for more then 10 minutes,2024-02-21 12:57:12
2 has been waiting for more then 10 minutes,2024-02-21 12:57:12
1 has been waiting for more then 10 minutes,2024-02-21 12:57:30
2 has been waiting for more then 10 minutes,2024-02-21 12:57:31
1 has been waiting for more then 10 minutes,2024-02-21 12:57:49
2 has been waiting for more then 10 minutes,2024-02-21 12:57:50
1 has been waiting for more then 10 minutes,2024-02-21 12:58:08
2 has been waiting for more then 10 minutes,2024-02-21 12:58:08
1 has been waiting for more then 10 minutes,2024-02-21 12:58:25
2 has been waiting for more then 10 minutes,2024-02-21 12:58:26
1 has been waiting for more then 10 minutes,2024-02-21 12:58:39
2 has been waiting for more then 10 minutes,2024-02-21 12:58:40
1 has been waiting for more then 10 minutes,2024-02-21 12:58:58
2 has been waiting for more then 10 minutes,2024-02-21 12:58:59
1 has been waiting for more then 10 minutes,2024-02-21 12:59:17
2 has been waiting for more then 10 minutes,2024-02-21 12:59:18
1 has been waiting for more then 10 minutes,2024-02-21 12:59:33
2 has been waiting for more then 10 minutes,2024-02-21 12:59:34
1 has been waiting for more then 10 minutes,2024-02-21 12:59:51
2 has been waiting for more then 10 minutes,2024-02-21 12:59:52
1 has been waiting for more then 10 minutes,2024-02-21 13:00:09
2 has been waiting for more then 10 minutes,2024-02-21 13:00:11
1 has been waiting for more then 10 minutes,2024-02-21 13:00:28
2 has been waiting for more then 10 minutes,2024-02-21 13:00:30
1 has been waiting for more then 10 minutes,2024-02-21 13:00:45
2 has been waiting for more then 10 minutes,2024-02-21 13:00:46
Number of customers exceeds3,2024-02-21 13:00:51
Number of customers exceeds3,2024-02-21 13:00:52
Number of customers exceeds3,2024-02-21 13:00:52
Number of customers exceeds3,2024-02-21 13:00:53
Number of customers exceeds3,2024-02-21 13:00:55
Number of customers exceeds3,2024-02-21 13:00:56
Number of customers exceeds3,2024-02-21 13:00:57
Number of customers exceeds3,2024-02-21 13:00:58
Number of customers exceeds3,2024-02-21 13:00:59
Number of customers exceeds3,2024-02-21 13:01:00
Number of customers exceeds3,2024-02-21 13:01:00
2 has been waiting for more then 10 minutes,2024-02-21 13:01:01
Number of customers exceeds3,2024-02-21 13:01:01
Number of customers exceeds3,2024-02-21 13:01:02
2 has been waiting for more then 10 minutes,2024-02-21 13:01:20
2 has been waiting for more then 10 minutes,2024-02-21 13:01:38
2 has been waiting for more then 10 minutes,2024-02-21 13:01:56
2 has been waiting for more then 10 minutes,2024-02-21 13:02:14
2 has been waiting for more then 10 minutes,2024-02-21 13:02:33
2 has been waiting for more then 10 minutes,2024-02-21 13:02:52
2 has been waiting for more then 10 minutes,2024-02-21 13:03:09
2 has been waiting for more then 10 minutes,2024-02-21 13:03:26
2 has been waiting for more then 10 minutes,2024-02-21 13:03:46
2 has been waiting for more then 10 minutes,2024-02-21 13:04:05
2 has been waiting for more then 10 minutes,2024-02-21 13:04:22
2 has been waiting for more then 10 minutes,2024-02-21 13:04:40
2 has been waiting for more then 10 minutes,2024-02-21 13:05:01
2 has been waiting for more then 10 minutes,2024-02-21 13:05:21
2 has been waiting for more then 10 minutes,2024-02-21 13:05:36
2 has been waiting for more then 10 minutes,2024-02-21 13:05:54
2 has been waiting for more then 10 minutes,2024-02-21 13:06:15
2 has been waiting for more then 10 minutes,2024-02-21 13:06:35
2 has been waiting for more then 10 minutes,2024-02-21 13:07:04
2 has been waiting for more then 10 minutes,2024-02-21 13:07:26
2 has been waiting for more then 10 minutes,2024-02-21 13:07:48
2 has been waiting for more then 10 minutes,2024-02-21 13:08:09
2 has been waiting for more then 10 minutes,2024-02-21 13:08:26
2 has been waiting for more then 10 minutes,2024-02-21 13:08:44
2 has been waiting for more then 10 minutes,2024-02-21 13:09:04
2 has been waiting for more then 10 minutes,2024-02-21 13:09:25
2 has been waiting for more then 10 minutes,2024-02-21 13:09:46
2 has been waiting for more then 10 minutes,2024-02-21 13:10:10
2 has been waiting for more then 10 minutes,2024-02-21 13:10:40
2 has been waiting for more then 10 minutes,2024-02-21 13:11:01
2 has been waiting for more then 10 minutes,2024-02-21 13:11:20
2 has been waiting for more then 10 minutes,2024-02-21 13:11:32
2 has been waiting for more then 10 minutes,2024-02-21 13:11:49
2 has been waiting for more then 10 minutes,2024-02-21 13:12:06
2 has been waiting for more then 10 minutes,2024-02-21 13:12:22
2 has been waiting for more then 10 minutes,2024-02-21 13:12:39
2 has been waiting for more then 10 minutes,2024-02-21 13:12:56
2 has been waiting for more then 10 minutes,2024-02-21 13:13:17
7 has been waiting for more then 10 minutes,2024-02-21 13:13:22
2 has been waiting for more then 10 minutes,2024-02-21 13:13:39
7 has been waiting for more then 10 minutes,2024-02-21 13:13:44
2 has been waiting for more then 10 minutes,2024-02-21 13:13:56
7 has been waiting for more then 10 minutes,2024-02-21 13:14:02
2 has been waiting for more then 10 minutes,2024-02-21 13:14:21
7 has been waiting for more then 10 minutes,2024-02-21 13:14:25
2 has been waiting for more then 10 minutes,2024-02-21 13:14:44
7 has been waiting for more then 10 minutes,2024-02-21 13:14:48
2 has been waiting for more then 10 minutes,2024-02-21 13:15:05
7 has been waiting for more then 10 minutes,2024-02-21 13:15:08
2 has been waiting for more then 10 minutes,2024-02-21 13:15:23
7 has been waiting for more then 10 minutes,2024-02-21 13:15:28
2 has been waiting for more then 10 minutes,2024-02-21 13:15:46
7 has been waiting for more then 10 minutes,2024-02-21 13:15:51
2 has been waiting for more then 10 minutes,2024-02-21 13:16:11
7 has been waiting for more then 10 minutes,2024-02-21 13:16:15
